"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16082","Empty Address 1 field","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","14437","Empty City field","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","0","e2e test with 1 item, method 'Cash On Delivery' — parses order summary table","Mobile Safari","2026-08-03","skipped","2026-08-03","","checkout.ordersummary.spec.ts","",""
"","5550","Adding a product to the wish list","firefox","2026-08-03","passed","2026-08-03","","wishlist.spec.ts","",""
"","28295","e2e test with 1 item, method 'Cash On Delivery' and comment","webkit","2026-08-03","passed","2026-08-03","Checkout e2e","checkout.e2e.singleItem.spec.ts","",""
"","8961","Empty Address 1 field","chromium","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","4268","Password with leading space","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","5718","Adding a product to the cart and checking its name and quantity in the cart","chromium","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","3627","Empty E-Mail Address","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","16441","Checkout is blocked when Country is not selected","firefox","2026-08-03","passed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","2967","Empty Password","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","3094","Invalid Email","chromium","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","22386","Checkout is blocked when Region/State is not selected","Mobile Safari","2026-08-03","failed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","10141","Changing product quantity recalculates total number and sum","firefox","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","20283","Checkout is blocked when Region/State is not selected","webkit","2026-08-03","failed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","2609","Password with leading space","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","9456","Applying an invalid coupon","webkit","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","12720","Empty First Name field","webkit","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","2582","Invalid Password","chromium","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","12335","Empty Last Name field","webkit","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","4139","Successful login","Mobile Safari","2026-08-03","passed","2026-08-03","","login.spec.ts","",""
"","5063","Empty First Name field","webkit","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","4470","Search shows no product for product doesn't exist","firefox","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","19473","Checkout is blocked when Terms and Conditions is not accepted","webkit","2026-08-03","passed","2026-08-03","","checkout.negative.spec.ts","",""
"","20364","Empty Address 1 field","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","5939","Search shows no product for product doesn't exist","webkit","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","3035","Search shows no product for empty query","firefox","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","2913","Adding a product to the wish list","chromium","2026-08-03","passed","2026-08-03","","wishlist.spec.ts","",""
"","10264","BUG: no-results message incorrectly shows ""Your shopping cart is empty!"" instead of a proper no-results message","firefox","2026-08-03","passed","2026-08-03","","search.negative.spec.ts","",""
"","9466","Empty First Name field","chromium","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","3503","Empty Password","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","14730","Adding a product to the cart and checking its name and quantity in the cart","Mobile Safari","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","4978","Search shows no product for product doesn't exist","Mobile Safari","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","13780","Checkout is blocked when Country is not selected","webkit","2026-08-03","passed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","9287","Empty City field","chromium","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","23041","Checkout is blocked when Terms and Conditions is not accepted","firefox","2026-08-03","passed","2026-08-03","","checkout.negative.spec.ts","",""
"","4755","User makes search for a product and opens its card","webkit","2026-08-03","passed","2026-08-03","","search.spec.ts","",""
"","16494","Checkout is blocked when Country is not selected","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","61836","e2e test with 1 item, method 'Cash On Delivery' and comment","chromium","2026-08-03","broken","2026-08-03","Checkout e2e","checkout.e2e.singleItem.spec.ts","",""
"","7469","User makes search for a product and opens its card","Mobile Safari","2026-08-03","passed","2026-08-03","","search.spec.ts","",""
"","4099","Empty E-Mail Address","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","18628","Empty First Name field","Mobile Safari","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","3804","Empty E-Mail Address and Password","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","3305","Invalid Password","firefox","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","8568","Changing product quantity recalculates total number and sum","chromium","2026-08-03","passed","2026-08-03","","cart.spec.ts","",""
"","4270","Registration with already existing email","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","3643","Invalid Password","webkit","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","3894","Successful registration","chromium","2026-08-03","passed","2026-08-03","","register.spec.ts","",""
"","4618","Empty E-Mail Address and Password","Mobile Safari","2026-08-03","passed","2026-08-03","Login negative cases","login.negative.spec.ts","",""
"","2950","Search shows no product for empty query","chromium","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
"","3979","Not checked Privacy Policy checkbox","firefox","2026-08-03","passed","2026-08-03","Registration negative cases","register.negative.spec.ts","",""
"","14276","Empty Address 1 field","webkit","2026-08-03","passed","2026-08-03","Checkout negative cases — required billing fields","checkout.negative.spec.ts","",""
"","7935","Checkout is blocked when Country is not selected","chromium","2026-08-03","passed","2026-08-03","Checkout negative cases — Country / Region selects","checkout.negative.spec.ts","",""
"","4988","Search shows no product for special characters","Mobile Safari","2026-08-03","passed","2026-08-03","Search with no results","search.negative.spec.ts","",""
